[11-Dec-2014 17:36:24 Europe/Paris] PHP Parse error:  syntax error, unexpected ')' in /home/searchan/www/deep_blue/class/AideDao.class.php on line 66
[11-Dec-2014 17:36:59 Europe/Paris] PHP Parse error:  syntax error, unexpected ')' in /home/searchan/www/deep_blue/class/AideDao.class.php on line 66
[11-Dec-2014 17:38:02 Europe/Paris] PHP Parse error:  syntax error, unexpected ')' in /home/searchan/www/deep_blue/class/AideDao.class.php on line 64
[11-Dec-2014 17:42:20 Europe/Paris] PHP Parse error:  syntax error, unexpected ')' in /home/searchan/www/deep_blue/class/AideDao.class.php on line 64
[11-Dec-2014 17:42:40 Europe/Paris] PHP Parse error:  syntax error, unexpected ')' in /home/searchan/www/deep_blue/class/AideDao.class.php on line 64
[11-Dec-2014 17:42:52 Europe/Paris] PHP Parse error:  syntax error, unexpected ')' in /home/searchan/www/deep_blue/class/AideDao.class.php on line 64
[11-Dec-2014 17:43:28 Europe/Paris] PHP Parse error:  syntax error, unexpected ')' in /home/searchan/www/deep_blue/class/AideDao.class.php on line 64
[11-Dec-2014 17:44:06 Europe/Paris] PHP Parse error:  syntax error, unexpected ')' in /home/searchan/www/deep_blue/class/AideDao.class.php on line 64
[11-Dec-2014 17:45:16 Europe/Paris] PHP Parse error:  syntax error, unexpected ')' in /home/searchan/www/deep_blue/class/AideDao.class.php on line 64
[11-Dec-2014 17:45:20 Europe/Paris] PHP Parse error:  syntax error, unexpected ')' in /home/searchan/www/deep_blue/class/AideDao.class.php on line 64
[11-Dec-2014 17:56:27 Europe/Paris] PHP Parse error:  syntax error, unexpected 'else' (T_ELSE) in /home/searchan/www/deep_blue/class/AideDao.class.php on line 80
